"","Date","Count"
"110",2017-07-27,323
"61",2017-07-28,285
"118",2017-07-29,304
"179",2017-07-30,260
"263",2017-07-31,351
"45",2017-08-01,350
"230",2017-08-02,313
"219",2017-08-03,336
"226",2017-08-04,361
"203",2017-08-05,257
"335",2017-08-06,248
"85",2017-08-07,317
"92",2017-08-08,290
"220",2017-08-09,319
"125",2017-08-10,312
"309",2017-08-11,284
"221",2017-08-12,316
"42",2017-08-13,259
"239",2017-08-14,318
"140",2017-08-15,278
"278",2017-08-16,326
"39",2017-08-17,289
"289",2017-08-18,299
"265",2017-08-19,296
"299",2017-08-20,279
"283",2017-08-21,284
"245",2017-08-22,303
"72",2017-08-23,307
"327",2017-08-24,309
"143",2017-08-25,276
"52",2017-08-26,265
"234",2017-08-27,278
"240",2017-08-28,299
"308",2017-08-29,271
"193",2017-08-30,247
"3",2017-08-31,320
"9",2017-09-01,376
"107",2017-09-02,276
"133",2017-09-03,236
"175",2017-09-04,218
"222",2017-09-05,290
"160",2017-09-06,255
"34",2017-09-07,323
"169",2017-09-08,355
"202",2017-09-09,271
"227",2017-09-10,245
"194",2017-09-11,309
"297",2017-09-12,281
"223",2017-09-13,318
"115",2017-09-14,288
"81",2017-09-15,357
"204",2017-09-16,328
"136",2017-09-17,287
"124",2017-09-18,258
"21",2017-09-19,281
"268",2017-09-20,277
"224",2017-09-21,320
"116",2017-09-22,368
"150",2017-09-23,315
"103",2017-09-24,294
"128",2017-09-25,329
"205",2017-09-26,334
"293",2017-09-27,312
"273",2017-09-28,311
"149",2017-09-29,288
"151",2017-09-30,240
"38",2017-10-01,314
"159",2017-10-02,277
"135",2017-10-03,269
"228",2017-10-04,298
"49",2017-10-05,294
"168",2017-10-06,301
"238",2017-10-07,301
"182",2017-10-08,254
"104",2017-10-09,213
"249",2017-10-10,320
"2",2017-10-11,278
"53",2017-10-12,309
"146",2017-10-13,302
"229",2017-10-14,260
"243",2017-10-15,265
"47",2017-10-16,296
"177",2017-10-17,261
"251",2017-10-18,291
"291",2017-10-19,316
"59",2017-10-20,300
"132",2017-10-21,291
"120",2017-10-22,248
"13",2017-10-23,288
"77",2017-10-24,298
"209",2017-10-25,291
"271",2017-10-26,276
"93",2017-10-27,306
"259",2017-10-28,276
"122",2017-10-29,261
"195",2017-10-30,304
"155",2017-10-31,288
"1",2017-11-01,314
"248",2017-11-02,287
"91",2017-11-03,318
"256",2017-11-04,276
"121",2017-11-05,272
"244",2017-11-06,281
"269",2017-11-07,274
"142",2017-11-08,258
"108",2017-11-09,285
"8",2017-11-10,312
"29",2017-11-11,245
"255",2017-11-12,201
"99",2017-11-13,232
"60",2017-11-14,269
"141",2017-11-15,274
"54",2017-11-16,277
"25",2017-11-17,298
"198",2017-11-18,273
"231",2017-11-19,245
"197",2017-11-20,276
"28",2017-11-21,307
"161",2017-11-22,230
"113",2017-11-23,150
"171",2017-11-24,222
"163",2017-11-25,241
"235",2017-11-26,208
"66",2017-11-27,256
"87",2017-11-28,277
"173",2017-11-29,306
